6549;365;SÃO PAULO;Tem dias que eu digo não invento no meu;BRA;
1039;14 BIS;BOLA DE MEIA BOLA DE GUDE;Há um menino há um moleque;BRA;
3755;14 BIS;LINDA JUVENTUDE;Zabelê, zumbi, besouro vespa fabricando;BRA;
6074;14 BIS;PLANETA SONHO;Aqui ninguém mais ficará de...;BRA;
6197;14 BIS;TODO AZUL DO MAR;Foi assim como ver o mar a ...;BRA;
7392;14 BIS;NATURAL;Penso em você no seu jeito de;BRA;
7693;14 BIS;ROMANCE;Flores simples enfeitando a mesa do café;BRA;
9556;14 BIS;UMA VELHA CANÇÃO ROCK'N'ROLL;Olhe oh oh oh venha solte seu corpo no m;BRA;
15225;5 A SECO - MARIA GADÚ;EM PAZ;Caiu do céu se revelou anjo da noite e das ;BRA;
2748;A BANDA MAIS BONITA DA CIDADE;ORAÇÃO;Meu amor essa é a última oração;BRA;
15450;A BANDA MAIS BONITA DA CIDADE;CANÇÃO PRA NÃO VOLTAR;Não volte pra casa meu amor que aqui é;BRA;
6402;A COR DO SOM;ABRI A PORTA;Abri a porta apareci a mais bonita sorriu pr;BRA;
7175;A COR DO SOM;MENINO DEUS;Menino Deus um corpo azul-dourado;BRA;
7480;A COR DO SOM;ZANZIBAR;No azul de Jezebel no céu de Calcutá;BRA;
15200;A COR DO SOM;VIVA;Viva a alegria e viva o prazer;BRA;
7548;A TURMA DA MÔNICA;SER CRIANCA É BOM;Ser criança é bom ser criança ...;BRA;
5608;A VIGÍLIA;ESTAMOS AQUI;Estamos aqui Na casa de Deus;BRA;
5614;A VIGÍLIA;JEOVÁ É O TEU CAVALEIRO;Jeová é o teu cavaleiro que cavalga;BRA;
5617;A VIGÍLIA;JESUS TE ENTRONIZAMOS;"\""Jesus nesta noite construímos";BRA;
5636;A VIGÍLIA;RENOVA-ME;Renova-me Senhor Jesus já não quero s;BRA;
9574;A ZORRA;A COR DA ESPERANÇA;Sei está nos seus olhos é só olhar está;BRA;
1804;ABELHUDOS;AS CRIANÇAS E OS ANIMAIS;Ê ô ê ô...P de pato G de ...;BRA;
1790;ABÍLIO FARIAS;VOU FECHAR O CABARÉ;Esperei tanto que cerveja ....;BRA;
15049;ABÍLIO FARIAS;CORAÇÃO INDECISO;Um coração indeciso busquei no céu um;BRA;
15130;ABÍLIO FARIAS;O GENRO ODIADO;Desculpa mulher resolvi mil desculpas pedi;BRA;
6355;ABSYNTHO;SÓ A LUA;Lembro que ela disse meio triste;BRA;
1710;ADAIR CARDOSO;QUE SE DANE O MUNDO;E que se dane o mundo e que se dane;BRA;
3726;ADALBERTO E ADRIANO;SEPARAÇÃO;Qual terá sido o motivo da nossa separação;BRA;
2986;ADHEMAR DE CAMPOS;NOSSO GENERAL;Pelo Senhor marchamos sim o Seu;BRA;
6982;ADÍLSON RAMOS;SONHAR CONTIGO;Sonhar contigo por toda vida;BRA;
7062;ADONIRAN BARBOSA;AS MARIPOSAS;As mariposa quando chega o ...;BRA;
16322;ADONIRAN BARBOSA;APAGA O FOGO MANÉ;Inez saiu dizendo que ia comprar um pavio;BRA;
7782;ADORAÇÃO E ADORADORES;FAZ CHOVER;Assim como a corsa anseia por águas;BRA;
7887;ADORAÇÃO E ADORADORES;VIM PARA ADORAR-TE;Luz do mundo vieste à terra pra que eu;BRA;
9466;ADRIANA;I LOVE YOU BABY;Difícil é viver sem teu amor eu era tão feliz;BRA;
1119;ADRIANA CALCANHOTO;SEU PENSAMENTO;A uma hora dessas por onde estará seu;BRA;
1297;ADRIANA CALCANHOTO;MARESIA;Meu amor me deixou levou minha;BRA;
1581;ADRIANA CALCANHOTO;CANÇÃO DE NOVELA;Toalha molhada lâmpada acesa cidade;BRA;
2798;ADRIANA CALCANHOTO;METADE;Eu perco o chão eu não acho ...;BRA;
4138;ADRIANA CALCANHOTO;VAMBORA;Entre por essa porta agora;BRA;
4160;ADRIANA CALCANHOTO;MAIS FELIZ;O nosso amor não vai parar ...;BRA;